SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG440,SIG500,SIG675,SIG870,SIG936,STD440,STD500,STD675,STD870,STD936,R440_500,R500_675,R675_870,R870_936,AOT440,AOT500,AOT675,AOT870,AOT936,WATER
10572,06/24/2016, 7:01:10,-25.622,28.37,1215,895,66.86,2.531,1.033,17.7,0,324.93,395.11,685.92,518.3,311.97,0.009,0.005,0.005,0.004,0.006,0.8224,0.576,1.3234,1.6614,0.222,0.194,0.115,0.085,0.078,0.81
10572,06/24/2016, 7:01:30,-25.622,28.37,1215,895,66.8,2.526,1.033,17.9,0,330.19,400.74,685.52,525.5,318.75,0.008,0.015,0.004,0.013,0.009,0.824,0.5846,1.3046,1.6486,0.216,0.189,0.115,0.08,0.073,0.8
10572,06/24/2016, 7:01:45,-25.622,28.37,1215,895,66.76,2.522,1.033,18,0,330.17,400.12,686.37,526.5,318.62,0.003,0.009,0.003,0.005,0.002,0.8252,0.583,1.3037,1.6524,0.217,0.19,0.115,0.079,0.072,0.8
10572,06/24/2016, 7:01:59,-25.622,28.37,1215,895,66.72,2.518,1.033,18.1,0,327.38,398.15,685.99,520.52,315.22,0.013,0.009,0.004,0.005,0.003,0.8222,0.5804,1.3179,1.6513,0.221,0.193,0.116,0.084,0.076,0.81
10572,06/24/2016, 7:02:14,-25.622,28.37,1215,895,66.68,2.514,1.033,18.2,0,331.03,401.68,686.45,525.74,319.55,0.005,0.003,0.003,0.002,0.005,0.8241,0.5852,1.3057,1.6453,0.217,0.19,0.116,0.08,0.073,0.8
10572,06/24/2016, 7:02:25,-25.622,28.37,1215,895,66.65,2.511,1.033,18.3,0,329.48,400.55,689.14,528.15,319.12,0.003,0.005,0.001,0.002,0.002,0.8226,0.5812,1.3048,1.655,0.22,0.191,0.114,0.078,0.071,0.81
10572,06/24/2016, 7:02:38,-25.622,28.37,1215,896,66.62,2.507,1.033,18.4,0,328.95,398.15,687.13,521.56,317.35,0.004,0.005,0.001,0.004,0.008,0.8262,0.5794,1.3175,1.6435,0.221,0.194,0.116,0.084,0.076,0.8
10572,06/24/2016, 7:02:52,-25.622,28.37,1215,896,66.58,2.503,1.033,18.5,0,327.72,397.62,684.08,521.59,317.9,0.003,0.004,0.001,0.005,0.005,0.8242,0.5813,1.3115,1.6408,0.223,0.195,0.118,0.084,0.076,0.8
10572,06/24/2016, 7:03:07,-25.622,28.37,1215,896,66.54,2.499,1.033,18.6,0,328.52,397.16,686.79,522.51,317.94,0.004,0.001,0.003,0.004,0.005,0.8272,0.5783,1.3144,1.6435,0.223,0.196,0.116,0.083,0.076,0.81
10572,06/24/2016, 7:03:20,-25.622,28.37,1215,896,66.5,2.496,1.033,18.6,0,327.53,397.44,684.61,519.09,317.75,0.005,0.007,0.002,0.007,0.001,0.8241,0.5805,1.3189,1.6337,0.225,0.196,0.118,0.086,0.078,0.8
10572,06/24/2016, 7:03:37,-25.622,28.37,1215,896,66.46,2.491,1.033,18.7,0,333.47,402.74,690.77,528.57,322.28,0.006,0.005,0.002,0.006,0.006,0.828,0.583,1.3069,1.6401,0.218,0.192,0.114,0.079,0.072,0.8
10572,06/24/2016, 7:38:07,-25.622,28.37,1215,892,61.13,2.065,1.033,19.8,0,403.37,465.53,743.81,548.7,381.11,0.007,0.005,0.005,0.008,0.008,0.8665,0.6259,1.3556,1.4398,0.216,0.188,0.11,0.08,0.073,0.79
10572,06/24/2016, 7:38:21,-25.622,28.37,1215,892,61.1,2.063,1.033,19.9,0,393.18,451.33,735.58,530.03,369.96,0.004,0.004,0.002,0.004,0.005,0.8712,0.6136,1.3878,1.4327,0.229,0.203,0.116,0.097,0.088,0.79
10572,06/24/2016, 7:38:36,-25.622,28.37,1215,892,61.06,2.06,1.033,19.9,0,396.19,455.72,736.74,537.9,374.89,0.007,0.009,0.002,0.005,0.006,0.8694,0.6186,1.3697,1.4348,0.226,0.199,0.115,0.09,0.082,0.79
10572,06/24/2016, 7:38:49,-25.622,28.37,1215,893,61.03,2.058,1.033,19.9,0,399.8,461.93,740.82,544.43,376.78,0.013,0.015,0.001,0.007,0.011,0.8655,0.6235,1.3608,1.445,0.222,0.192,0.113,0.084,0.076,0.79
10572,06/24/2016, 7:39:03,-25.622,28.37,1215,892,61,2.056,1.033,19.9,0,400.16,461.53,738.35,543.03,379.17,0.006,0.003,0.003,0.003,0.002,0.867,0.6251,1.3597,1.4322,0.222,0.193,0.114,0.085,0.078,0.78
10572,06/24/2016, 7:39:26,-25.622,28.37,1215,893,60.94,2.053,1.033,19.9,0,395.55,455.41,728.91,535.04,375.67,0.008,0.01,0.008,0.012,0.006,0.8686,0.6248,1.3624,1.4242,0.228,0.2,0.121,0.093,0.084,0.78
10572,06/24/2016, 7:39:40,-25.622,28.37,1215,893,60.91,2.05,1.033,19.9,0,407.32,468.43,744.4,552.71,385.87,0.002,0.003,0.001,0.006,0.004,0.8695,0.6293,1.3469,1.4324,0.214,0.187,0.111,0.077,0.07,0.79
