SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG440,SIG500,SIG675,SIG870,SIG936,STD440,STD500,STD675,STD870,STD936,R440_500,R500_675,R675_870,R870_936,AOT440,AOT500,AOT675,AOT870,AOT936,WATER
10572,10/08/2010, 9:33:46,-25.750,  27.867, 1100,  892,20.56,1.068,0.996, 19.9, 0, 381.18, 425.48, 690.78, 527.82, 314.24, 0.014, 0.011, 0.004, 0.006, 0.019,0.8959,0.6160,1.3088,1.6800,0.704,0.599,0.351,0.238,0.216,1.90
10572,10/08/2010, 9:33:59,-25.750,  27.867, 1100,  892,20.54,1.067,0.996, 20.0, 0, 388.61, 430.93, 674.07, 529.62, 317.34, 0.007, 0.006, 0.016, 0.007, 0.009,0.9018,0.6395,1.2729,1.6690,0.686,0.587,0.374,0.234,0.213,1.89
10572,10/08/2010, 9:34:14,-25.750,  27.867, 1100,  893,20.53,1.067,0.996, 20.1, 0, 388.24, 433.54, 687.83, 533.54, 318.58, 0.004, 0.002, 0.006, 0.002, 0.006,0.8955,0.6303,1.2892,1.6748,0.687,0.582,0.355,0.228,0.207,1.89
10572,10/08/2010, 9:34:25,-25.750,  27.867, 1100,  893,20.52,1.067,0.996, 20.2, 0, 385.26, 428.74, 691.42, 529.97, 318.30, 0.005, 0.004, 0.002, 0.005, 0.003,0.8986,0.6201,1.3047,1.6650,0.694,0.592,0.351,0.234,0.213,1.88
10572,10/08/2010,10:47:48,-25.750,  27.867, 1100,  890,23.36,1.089,0.996, 26.1, 0, 412.29, 451.49, 707.88, 541.69, 358.19, 0.002, 0.003, 0.002, 0.002, 0.005,0.9132,0.6378,1.3068,1.5123,0.615,0.531,0.321,0.209,0.190,1.59
10572,10/08/2010,10:47:59,-25.750,  27.867, 1100,  891,23.39,1.089,0.996, 26.2, 0, 412.47, 451.19, 699.09, 538.72, 357.02, 0.011, 0.010, 0.019, 0.008, 0.006,0.9142,0.6456,1.2976,1.5089,0.614,0.531,0.333,0.214,0.195,1.59
10572,10/08/2010,10:48:10,-25.750,  27.867, 1100,  890,23.41,1.089,0.996, 26.3, 0, 412.61, 451.18, 704.34, 540.39, 357.64, 0.008, 0.009, 0.006, 0.003, 0.005,0.9145,0.6406,1.3034,1.5110,0.614,0.531,0.326,0.211,0.192,1.59
10572,10/08/2010,10:48:20,-25.750,  27.867, 1100,  891,23.43,1.089,0.996, 26.4, 0, 414.86, 453.59, 708.07, 542.74, 359.63, 0.002, 0.002, 0.001, 0.001, 0.002,0.9146,0.6406,1.3046,1.5091,0.608,0.526,0.321,0.207,0.188,1.59
10572,10/09/2010, 9:45:49,-25.750,  27.867, 1100,  893,19.61,1.061,0.996, 32.3, 0, 367.83, 414.14, 670.79, 526.29, 322.22, 0.006, 0.002, 0.007, 0.004, 0.006,0.8882,0.6174,1.2746,1.6333,0.744,0.629,0.382,0.242,0.221,1.84
10572,10/09/2010, 9:45:59,-25.750,  27.867, 1100,  893,19.61,1.061,0.996, 32.5, 0, 367.33, 412.68, 674.01, 525.14, 320.78, 0.003, 0.001, 0.003, 0.005, 0.007,0.8901,0.6123,1.2835,1.6371,0.745,0.633,0.377,0.244,0.222,1.85
10572,10/09/2010, 9:46:09,-25.750,  27.867, 1100,  893,19.60,1.061,0.996, 32.6, 0, 364.59, 412.09, 670.36, 525.63, 321.01, 0.005, 0.002, 0.007, 0.002, 0.003,0.8847,0.6148,1.2754,1.6374,0.752,0.634,0.382,0.244,0.222,1.85
