# Exported mask 'geometry' on 23-Jun-2016 08:38:35.000038
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13752.5	13470.5	28.369564724332115	-25.623538624775215	1589	1258	973	665	657	654	644	557	582	194	11	199	98	54.941433	30.730404	5.910676	84.72136	1.0
13753.5	13470.5	28.369664302812826	-25.623537691347714	1589	1235	975	667	657	654	644	569	582	194	11	199	98	54.941387	30.730309	5.9099526	84.71569	1.0
13754.5	13470.5	28.369763881288605	-25.62353675785239	1589	1229	954	672	652	648	644	555	560	194	11	176	103	54.94134	30.730213	5.9092298	84.71003	1.0
13755.5	13470.5	28.369863459759454	-25.62353582428924	1589	1217	960	673	652	648	644	550	560	194	11	176	103	54.941296	30.730118	5.9085064	84.70436	1.0
13756.5	13470.5	28.369963038225375	-25.62353489065827	1589	1228	948	676	660	647	634	537	547	194	11	189	114	54.94125	30.73002	5.9077835	84.6987	1.0
13757.5	13470.5	28.370062616686358	-25.623533956959484	1589	1222	943	680	660	647	634	540	547	194	11	189	114	54.941204	30.729925	5.90706	84.69303	1.0
13758.5	13470.5	28.370162195142413	-25.62353302319288	1579	1223	949	678	640	647	630	543	563	194	11	179	102	54.94116	30.72983	5.906337	84.68736	1.0
13759.5	13470.5	28.370261773593537	-25.62353208935845	1579	1226	955	672	640	647	630	539	563	194	11	179	102	54.941113	30.729734	5.905614	84.6817	1.0
13760.5	13470.5	28.37036135203973	-25.6235311554562	1579	1242	958	673	646	644	632	533	558	194	11	179	82	54.941067	30.72964	5.9048905	84.67603	1.0
13761.5	13470.5	28.370460930480984	-25.623530221486128	1579	1248	955	676	646	644	632	539	558	194	11	179	82	54.941017	30.729542	5.9041677	84.67037	1.0
13762.5	13470.5	28.370560508917315	-25.623529287448235	1579	1218	948	676	644	637	624	539	547	194	11	173	93	54.94097	30.729446	5.9034443	84.6647	1.0
13763.5	13470.5	28.370660087348703	-25.623528353342525	1579	1216	949	677	644	637	624	529	547	194	11	173	93	54.940926	30.729351	5.9027214	84.65904	1.0
13764.5	13470.5	28.37075966577516	-25.623527419168987	1602	1241	958	672	644	631	616	528	549	192	14	174	97	54.94088	30.729256	5.901998	84.65337	1.0
