# Exported mask 'geometry' on 23-Jun-2016 09:31:47.000031
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13768.5	13403.5	28.371088929843246	-25.617475099226912	1614	1271	1060	814	1059	1859	2291	2103	2439	809	17	1365	632	54.935722	30.731506	5.90165	86.67908	0.0
13769.5	13403.5	28.37118850323423	-25.617474164966243	1614	1272	1065	802	1059	1859	2291	2177	2439	809	17	1365	632	54.935677	30.73141	5.900968	86.66481	0.0
13770.5	13403.5	28.37128807662028	-25.617473230637767	1611	1273	1069	789	1091	2089	2412	2322	2710	733	13	1486	707	54.93563	30.731314	5.9002867	86.65055	0.0
13771.5	13403.5	28.371387650001395	-25.617472296241488	1611	1277	1057	802	1091	2089	2412	2232	2710	733	13	1486	707	54.935585	30.731218	5.8996053	86.636284	0.0
13772.5	13403.5	28.371487223377574	-25.617471361777405	1611	1312	1103	861	1050	1963	2242	2486	2518	733	13	1410	670	54.93554	30.731123	5.8989234	86.622025	0.0
13773.5	13403.5	28.37158679674882	-25.617470427245525	1611	1296	1070	833	1050	1963	2242	2131	2518	733	13	1410	670	54.935493	30.731026	5.898242	86.607765	0.0
13758.5	13404.5	28.370094225342317	-25.61757471553197	1666	1340	1159	1074	1313	1941	2216	2193	2429	801	13	2257	1392	54.93626	30.732424	5.908434	86.78985	0.0
13759.5	13404.5	28.370193798857407	-25.61757378194556	1666	1361	1179	1127	1313	1941	2216	2228	2429	801	13	2257	1392	54.936214	30.732328	5.9077516	86.77572	0.0
13760.5	13404.5	28.370293372367563	-25.617572848291353	1666	1344	1214	1203	1391	1986	2242	2131	2398	801	13	2369	1524	54.93617	30.732233	5.9070697	86.76158	0.0
13761.5	13404.5	28.370392945872794	-25.617571914569336	1666	1358	1210	1149	1391	1986	2242	2214	2398	801	13	2369	1524	54.936123	30.732136	5.9063873	86.747444	0.0
13762.5	13404.5	28.370492519373087	-25.617570980779526	1666	1375	1214	1166	1420	1998	2273	2233	2468	801	13	2270	1415	54.936077	30.73204	5.905705	86.733315	0.0
13763.5	13404.5	28.37059209286845	-25.61757004692191	1666	1403	1253	1244	1420	1998	2273	2192	2468	801	13	2270	1415	54.936028	30.731945	5.905023	86.71918	0.0
13764.5	13404.5	28.370691666358884	-25.617569112996488	1631	1339	1196	1039	1259	2099	2457	2214	2684	820	16	1956	1044	54.93598	30.73185	5.9043407	86.70504	0.0
13765.5	13404.5	28.370791239844376	-25.617568179003264	1631	1289	1119	878	1259	2099	2457	2616	2684	820	16	1956	1044	54.935936	30.731754	5.9036584	86.69091	0.0
13766.5	13404.5	28.37089081332494	-25.61756724494224	1631	1284	1103	850	1158	2165	2498	2447	2683	820	16	1585	792	54.93589	30.731657	5.902976	86.67677	0.0
13767.5	13404.5	28.37099038680057	-25.617566310813412	1631	1288	1074	807	1158	2165	2498	2252	2683	820	16	1585	792	54.935844	30.731562	5.902294	86.662636	0.0
13768.5	13404.5	28.371089960271267	-25.617565376616778	1631	1256	1027	772	1002	1882	2098	1887	2343	820	16	1329	603	54.9358	30.731466	5.901612	86.648506	0.0
13769.5	13404.5	28.371189533737027	-25.617564442352347	1631	1286	1032	786	1002	1882	2098	2060	2343	820	16	1329	603	54.935753	30.73137	5.9009295	86.63437	0.0
13770.5	13404.5	28.371289107197853	-25.617563508020112	1621	1299	1092	815	1060	2022	2367	2269	2599	774	12	1400	647	54.935707	30.731274	5.9002476	86.62023	0.0
13771.5	13404.5	28.37138868065374	-25.61756257362007	1621	1293	1060	810	1060	2022	2367	2348	2599	774	12	1400	647	54.93566	30.731178	5.899565	86.6061	0.0
13772.5	13404.5	28.371488254104698	-25.617561639152225	1621	1289	1062	873	1061	1914	2306	2323	2349	774	12	1378	691	54.93561	30.731083	5.898883	86.591965	0.0
13773.5	13404.5	28.37158782755072	-25.617560704616583	1621	1276	1119	862	1061	1914	2306	2227	2349	774	12	1378	691	54.935566	30.730988	5.898201	86.57783	0.0
13774.5	13404.5	28.371687400991803	-25.617559770013138	1621	1257	1020	784	992	1492	1741	1524	1899	774	12	1264	690	54.93552	30.730892	5.8975186	86.5637	0.0
13775.5	13404.5	28.371786974427945	-25.617558835341885	1621	1266	1045	850	992	1492	1741	1664	1899	774	12	1264	690	54.935474	30.730795	5.8968363	86.54956	0.0
13776.5	13404.5	28.371886547859155	-25.617557900602833	1604	1295	1073	889	1035	1559	1674	1715	1845	586	15	1543	899	54.93543	30.7307	5.8961544	86.53542	0.0
13777.5	13404.5	28.371986121285428	-25.617556965795977	1604	1300	1075	921	1035	1559	1674	1542	1845	586	15	1543	899	54.935383	30.730604	5.895472	86.52129	0.0
13778.5	13404.5	28.372085694706758	-25.617556030921318	1604	1263	1051	851	1000	1528	1709	1595	1835	586	15	1393	781	54.935337	30.730509	5.8947897	86.50716	0.0
13779.5	13404.5	28.372185268123157	-25.617555095978858	1604	1266	1032	812	1000	1528	1709	1696	1835	586	15	1393	781	54.93529	30.730413	5.8941073	86.49303	0.0
13780.5	13404.5	28.372284841534615	-25.617554160968595	1604	1270	1033	798	1019	1722	1844	1850	2024	586	15	1365	755	54.935246	30.730316	5.8934255	86.47889	0.0
13781.5	13404.5	28.372384414941134	-25.617553225890525	1604	1288	1063	835	1019	1722	1844	1943	2024	586	15	1365	755	54.935196	30.73022	5.892743	86.46475	0.0
13782.5	13404.5	28.37248398834271	-25.61755229074466	1620	1264	1048	830	1030	1610	1869	1754	1943	602	17	1423	796	54.93515	30.730125	5.8920608	86.45062	0.0
