# Exported mask 'geometry' on 28-Jun-2016 21:30:08.000030
# Product name: S3A_OL_1_EFR____20160605T074147_20160605T074447_20160606T174711_0180_005_049_3419_LN1_O_NT_001
# Product file location: D:\Projects\GitHub\RoodBuoy16\Data\Sentinel3\S3A_OL_1_EFR____20160605T074147_20160605T074447_20160606T174711_0180_005_049_3419_LN1_O_NT_001.SEN3\xfdumanifest.xml

# Wavelength:				400.0	412.5	442.5	490.0	510.0	560.0	620.0	665.0	673.75	681.25	708.75	753.75	761.25	764.375	767.5	778.75	865.0	885.0	900.0	940.0	1020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	Oa01_radiance	Oa02_radiance	Oa03_radiance	Oa04_radiance	Oa05_radiance	Oa06_radiance	Oa07_radiance	Oa08_radiance	Oa09_radiance	Oa10_radiance	Oa11_radiance	Oa12_radiance	Oa13_radiance	Oa14_radiance	Oa15_radiance	Oa16_radiance	Oa17_radiance	Oa18_radiance	Oa19_radiance	Oa20_radiance	Oa21_radiance	altitude	latitude	longitude	detector_index	FWHM_band_1	FWHM_band_2	FWHM_band_3	FWHM_band_4	FWHM_band_5	FWHM_band_6	FWHM_band_7	FWHM_band_8	FWHM_band_9	FWHM_band_10	FWHM_band_11	FWHM_band_12	FWHM_band_13	FWHM_band_14	FWHM_band_15	FWHM_band_16	FWHM_band_17	FWHM_band_18	FWHM_band_19	FWHM_band_20	FWHM_band_21	frame_offset	lambda0_band_1	lambda0_band_2	lambda0_band_3	lambda0_band_4	lambda0_band_5	lambda0_band_6	lambda0_band_7	lambda0_band_8	lambda0_band_9	lambda0_band_10	lambda0_band_11	lambda0_band_12	lambda0_band_13	lambda0_band_14	lambda0_band_15	lambda0_band_16	lambda0_band_17	lambda0_band_18	lambda0_band_19	lambda0_band_20	lambda0_band_21	solar_flux_band_1	solar_flux_band_2	solar_flux_band_3	solar_flux_band_4	solar_flux_band_5	solar_flux_band_6	solar_flux_band_7	solar_flux_band_8	solar_flux_band_9	solar_flux_band_10	solar_flux_band_11	solar_flux_band_12	solar_flux_band_13	solar_flux_band_14	solar_flux_band_15	solar_flux_band_16	solar_flux_band_17	solar_flux_band_18	solar_flux_band_19	solar_flux_band_20	solar_flux_band_21	quality_flags
2941.5	1015.5	28.366456231514203	-25.5817122660559	54.112263	56.62811	53.743286	44.547146	40.40123	33.367615	27.35949	24.823586	24.232244	23.727238	28.270638	36.998745	10.465589	18.32324	32.281017	35.10898	31.152922	30.286407	20.822893	7.134623	24.914951	1214	-25.579708	28.3695	1849	13.839241	9.822733	9.884628	9.982587	9.947777	10.005388	9.955719	9.957537	7.5238557	7.535433	10.006179	7.523334	2.805149	3.7384443	2.7478628	15.042805	19.936577	9.970347	9.959762	19.863144	28.348501	-1	400.6608	412.07144	443.17896	490.70807	510.63443	560.57587	620.6287	665.36707	674.1011	681.65564	709.1746	754.2188	761.812	764.90295	767.96857	779.2645	865.45795	884.3207	899.3117	939.0148	1015.959	1486.6691	1660.2185	1841.9208	1884.3264	1860.7415	1744.1731	1601.6915	1485.6317	1451.3467	1426.2537	1362.1747	1229.7723	1212.1583	1202.7181	1193.8889	1139.6711	931.826	904.12555	870.0094	802.5073	679.29926	-2147483648
2942.5	1015.5	28.369063982870593	-25.582299784662542	54.391193	56.82892	53.876915	44.74298	40.946377	33.738228	28.01886	25.901728	25.259357	24.956907	29.027224	36.660362	10.210696	18.31459	32.381107	34.886265	30.94586	30.23691	20.86815	7.033446	25.141832	1214	-25.580341	28.372307	1850	13.838486	9.822756	9.884538	9.982674	9.947769	10.005428	9.955701	9.957512	7.523776	7.5354786	10.006154	7.523242	2.8054214	3.7386544	2.7482529	15.042829	19.936684	9.970403	9.959798	19.86275	28.33937	-1	400.66006	412.07047	443.17795	490.70697	510.6334	560.5749	620.6277	665.36615	674.10004	681.6546	709.17377	754.2177	761.8107	764.9017	767.9674	779.26355	865.457	884.3198	899.311	939.01337	1015.957	1486.651	1660.211	1841.8951	1884.3112	1860.7576	1744.181	1601.6927	1485.6337	1451.3511	1426.2579	1362.1799	1229.7721	1212.161	1202.7277	1193.8844	1139.6754	931.82446	904.1275	870.0099	802.50977	679.3022	-2147483648
2943.5	1015.5	28.371671733898	-25.582887303265153	54.377247	57.06989	53.949802	44.9273	41.20885	34.047073	28.5024	26.681849	25.906057	25.69935	29.5136	36.32198	10.150722	18.210775	31.907003	34.366604	30.438066	29.631952	20.435701	6.8735204	24.697792	1212	-25.580973	28.375092	1851	13.83773	9.822779	9.884447	9.98276	9.9477625	10.005468	9.955683	9.957487	7.523696	7.5355244	10.006129	7.5231495	2.8056939	3.7388647	2.7486432	15.042853	19.936789	9.970458	9.959835	19.862354	28.330246	-1	400.65933	412.0695	443.17694	490.70584	510.63235	560.57385	620.62665	665.3652	674.09906	681.65356	709.17285	754.2167	761.80945	764.90045	767.96625	779.2626	865.456	884.319	899.3102	939.0119	1015.95496	1486.6329	1660.2037	1841.8693	1884.2958	1860.7734	1744.189	1601.6941	1485.6356	1451.3555	1426.2621	1362.1853	1229.772	1212.1636	1202.7372	1193.88	1139.6797	931.823	904.12946	870.01044	802.51227	679.3051	-2147483648
2944.5	1015.5	28.374280308949174	-25.58347331473644	54.586445	57.217148	54.581505	45.44569	41.794376	34.998318	29.733223	27.98789	27.332603	27.083698	30.837626	36.775555	10.360633	18.418404	32.41798	34.907475	31.147991	30.3909	20.873178	7.072611	25.261757	1210	-25.5816	28.377878	1852	13.836975	9.822802	9.8843565	9.982847	9.947755	10.005509	9.955664	9.957462	7.5236163	7.5355706	10.006104	7.5230575	2.8059666	3.739075	2.7490335	15.042877	19.936893	9.970514	9.959872	19.86196	28.321129	-1	400.6586	412.06848	443.17593	490.70474	510.63132	560.5729	620.6257	665.36426	674.098	681.6525	709.172	754.2156	761.80817	764.89923	767.96515	779.2616	865.455	884.3181	899.3094	939.0105	1015.95294	1486.6149	1660.1965	1841.8434	1884.2805	1860.7894	1744.197	1601.6953	1485.6376	1451.3599	1426.2664	1362.1906	1229.7719	1212.1664	1202.7468	1193.8755	1139.6838	931.8215	904.1314	870.011	802.5147	679.30804	-2139095040
2945.5	1015.5	28.376889708532318	-25.58405781908254	54.586445	57.217148	54.581505	45.44569	41.794376	34.998318	29.733223	27.98789	27.332603	27.083698	30.837626	36.775555	10.360633	18.418404	32.41798	34.907475	31.147991	30.3909	20.873178	7.072611	25.261757	1210	-25.5816	28.377878	1852	13.836975	9.822802	9.8843565	9.982847	9.947755	10.005509	9.955664	9.957462	7.5236163	7.5355706	10.006104	7.5230575	2.8059666	3.739075	2.7490335	15.042877	19.936893	9.970514	9.959872	19.86196	28.321129	-1	400.6586	412.06848	443.17593	490.70474	510.63132	560.5729	620.6257	665.36426	674.098	681.6525	709.172	754.2156	761.80817	764.89923	767.96515	779.2616	865.455	884.3181	899.3094	939.0105	1015.95294	1486.6149	1660.1965	1841.8434	1884.2805	1860.7894	1744.197	1601.6953	1485.6376	1451.3599	1426.2664	1362.1906	1229.7719	1212.1664	1202.7468	1193.8755	1139.6838	931.8215	904.1314	870.011	802.5147	679.30804	-2147483648
2946.5	1015.5	28.37949910844608	-25.584642323432572	54.7538	57.55183	54.99454	46.19448	42.45057	35.727192	30.75305	29.022207	28.388247	28.073622	31.357779	36.91235	10.458092	18.496265	32.46539	35.13549	30.995161	30.25891	20.74244	7.043237	25.333063	1209	-25.582224	28.380651	1853	13.836221	9.822824	9.884266	9.982935	9.947747	10.005549	9.955646	9.9574375	7.5235367	7.5356164	10.006079	7.522965	2.8062394	3.7392852	2.7494237	15.042901	19.937	9.97057	9.9599085	19.861565	28.31202	-1	400.65787	412.0675	443.17493	490.7036	510.63028	560.57184	620.62463	665.36334	674.09705	681.6515	709.17114	754.21454	761.8069	764.898	767.964	779.2606	865.45404	884.3172	899.3086	939.0091	1015.9509	1486.5969	1660.1892	1841.8176	1884.2653	1860.8053	1744.205	1601.6965	1485.6395	1451.3643	1426.2706	1362.1958	1229.7716	1212.1691	1202.7563	1193.871	1139.6881	931.81995	904.13336	870.0114	802.5171	679.31104	-2147483648
2947.5	1015.5	28.382108508679632	-25.585226827786435	54.739853	57.55183	55.00669	46.493996	42.773617	35.875435	30.849758	29.048504	28.416777	28.143225	31.344267	36.87635	10.473085	18.409754	32.53387	35.11428	31.02474	30.341404	20.77261	7.1117764	25.183968	1211	-25.582855	28.383448	1854	13.835466	9.822846	9.884175	9.983022	9.94774	10.0055895	9.955627	9.957413	7.5234566	7.5356627	10.006054	7.522873	2.8065126	3.739496	2.7498143	15.042925	19.937105	9.970625	9.959946	19.86117	28.302917	-1	400.65714	412.06653	443.17392	490.7025	510.62924	560.57086	620.6236	665.36237	674.096	681.65045	709.1702	754.21344	761.8056	764.8968	767.9628	779.25964	865.45306	884.31635	899.3078	939.0077	1015.9489	1486.579	1660.1819	1841.7919	1884.2499	1860.8212	1744.2129	1601.6978	1485.6415	1451.3687	1426.2748	1362.201	1229.7715	1212.1718	1202.7659	1193.8665	1139.6923	931.8184	904.1353	870.01196	802.51953	679.3139	-2147483648
2948.5	1015.5	28.384717909222154	-25.585811332143994	55.297714	57.980225	56.197205	48.19893	44.843147	38.445026	34.24332	32.852684	32.392082	32.09519	34.958317	41.23211	11.522643	20.503344	36.010612	39.022346	34.441257	33.55868	23.146048	7.7580047	27.809324	1213	-25.583487	28.386242	1855	13.834712	9.822869	9.884085	9.983109	9.947732	10.0056305	9.955609	9.957388	7.523377	7.535709	10.006029	7.522781	2.8067858	3.7397065	2.750205	15.042949	19.937212	9.97068	9.959983	19.860773	28.293821	-1	400.6564	412.06555	443.1729	490.7014	510.6282	560.5699	620.62256	665.36145	674.09503	681.6494	709.1694	754.2124	761.8043	764.8955	767.96173	779.25867	865.4521	884.3155	899.307	939.0063	1015.9469	1486.5609	1660.1744	1841.7661	1884.2347	1860.837	1744.2208	1601.6991	1485.6434	1451.373	1426.279	1362.2064	1229.7714	1212.1746	1202.7754	1193.8618	1139.6965	931.81696	904.13727	870.0125	802.522	679.3169	-2147483648
2949.5	1015.5	28.387327310062826	-25.586395836505126	55.78584	58.462166	56.62239	48.452366	45.337814	39.087425	35.104897	34.00095	33.675972	33.425396	35.708145	40.33936	11.1478	20.088085	35.483833	38.306488	33.44046	32.56875	22.346521	7.7482133	26.94717	1219	-25.584118	28.389044	1856	13.833958	9.822892	9.883994	9.983196	9.947724	10.005671	9.955591	9.957363	7.5232973	7.535755	10.006004	7.522689	2.8070593	3.7399173	2.7505958	15.042973	19.937317	9.9707365	9.960019	19.860378	28.284733	-1	400.65567	412.06458	443.1719	490.7003	510.62717	560.56885	620.6215	665.3605	674.094	681.6484	709.1685	754.21136	761.80304	764.8943	767.9606	779.2577	865.4511	884.31464	899.3062	939.0048	1015.9449	1486.5431	1660.1671	1841.7402	1884.2195	1860.8529	1744.2289	1601.7002	1485.6454	1451.3774	1426.2833	1362.2115	1229.7712	1212.1772	1202.785	1193.8573	1139.7008	931.8155	904.1393	870.01306	802.52435	679.31976	-2147483648
2938.5	1016.5	28.357928981069495	-25.582529514476384	54.3633	56.708435	53.682545	44.362827	40.391136	33.651752	27.623238	25.305681	24.631678	24.276335	28.655685	38.186676	10.885411	19.1105	33.740196	36.530094	32.548122	31.69981	21.707905	7.3467684	26.14984	1205	-25.580393	28.36039	1846	13.841873	9.822786	9.884754	9.982391	9.947576	10.005188	9.955676	9.957579	7.523849	7.5352745	10.006273	7.523314	2.8041108	3.7382493	2.746785	15.0427885	19.936832	9.970464	9.959865	19.863499	28.37573	-1	400.66306	412.07468	443.18225	490.712	510.6377	560.5785	620.6314	665.3703	674.1043	681.65875	709.17786	754.2216	761.81494	764.90607	767.97186	779.26746	865.46063	884.3236	899.3148	939.019	1015.9642	1486.7217	1660.2433	1842.0052	1884.3798	1860.6919	1744.1515	1601.688	1485.625	1451.3325	1426.2411	1362.1552	1229.773	1212.1506	1202.6935	1193.902	1139.6584	931.82983	904.11926	870.00745	802.4998	679.29175	-2147483648
