# Exported mask 'geometry' on 22-Jun-2016 17:56:00.000056
# Product name: S3A_OL_1_EFR____20160606T071536_20160606T071836_20160607T180921_0179_005_063_3419_LN1_O_NT_001
# Product file location: D:\Projects\GitHub\RoodBuoy16\Data\Sentinel3\S3A_OL_1_EFR____20160606T071536_20160606T071836_20160607T180921_0179_005_063_3419_LN1_O_NT_001.SEN3\xfdumanifest.xml

# Wavelength:				400.0	412.5	442.5	490.0	510.0	560.0	620.0	665.0	673.75	681.25	708.75	753.75	761.25	764.375	767.5	778.75	865.0	885.0	900.0	940.0	1020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	Oa01_radiance	Oa02_radiance	Oa03_radiance	Oa04_radiance	Oa05_radiance	Oa06_radiance	Oa07_radiance	Oa08_radiance	Oa09_radiance	Oa10_radiance	Oa11_radiance	Oa12_radiance	Oa13_radiance	Oa14_radiance	Oa15_radiance	Oa16_radiance	Oa17_radiance	Oa18_radiance	Oa19_radiance	Oa20_radiance	Oa21_radiance	altitude	latitude	longitude	detector_index	FWHM_band_1	FWHM_band_2	FWHM_band_3	FWHM_band_4	FWHM_band_5	FWHM_band_6	FWHM_band_7	FWHM_band_8	FWHM_band_9	FWHM_band_10	FWHM_band_11	FWHM_band_12	FWHM_band_13	FWHM_band_14	FWHM_band_15	FWHM_band_16	FWHM_band_17	FWHM_band_18	FWHM_band_19	FWHM_band_20	FWHM_band_21	frame_offset	lambda0_band_1	lambda0_band_2	lambda0_band_3	lambda0_band_4	lambda0_band_5	lambda0_band_6	lambda0_band_7	lambda0_band_8	lambda0_band_9	lambda0_band_10	lambda0_band_11	lambda0_band_12	lambda0_band_13	lambda0_band_14	lambda0_band_15	lambda0_band_16	lambda0_band_17	lambda0_band_18	lambda0_band_19	lambda0_band_20	lambda0_band_21	solar_flux_band_1	solar_flux_band_2	solar_flux_band_3	solar_flux_band_4	solar_flux_band_5	solar_flux_band_6	solar_flux_band_7	solar_flux_band_8	solar_flux_band_9	solar_flux_band_10	solar_flux_band_11	solar_flux_band_12	solar_flux_band_13	solar_flux_band_14	solar_flux_band_15	solar_flux_band_16	solar_flux_band_17	solar_flux_band_18	solar_flux_band_19	solar_flux_band_20	solar_flux_band_21	quality_flags
590.5	1619.5	28.3526508249279	-25.60518581220813	76.119774	79.908554	75.85287	62.29919	56.008503	44.226604	34.04111	29.793562	28.787678	28.11229	33.472164	47.070984	11.987447	22.510422	41.826252	45.093906	39.59315	38.38735	25.720623	7.963623	30.538397	1204	-25.606483	28.363731	185	13.542406	9.824989	9.919946	9.986111	9.962481	10.005331	9.92386	9.97331	7.518992	7.518877	9.993555	7.498829	2.5555768	3.7087953	2.526566	15.015767	19.97571	9.968542	9.95852	19.871101	26.48112	-2	400.57706	411.8786	443.0725	490.5737	510.5414	560.5299	620.4559	665.3483	674.0973	681.65	709.19507	754.2647	761.80426	764.91754	768.0232	779.3058	865.6183	884.49146	899.4953	939.19196	1016.0182	1487.0398	1658.6713	1837.3859	1880.3406	1863.2961	1743.8322	1600.8792	1485.5951	1450.901	1425.7386	1361.8726	1229.5441	1210.3889	1202.0608	1195.0027	1139.1635	931.98724	903.3604	869.6891	802.06085	678.98096	-2147483648
591.5	1619.5	28.35522485226187	-25.605888538544125	75.52008	79.5471	75.889305	61.872955	55.937836	43.781868	33.68945	29.521833	28.52139	27.779737	32.938503	45.364677	11.687573	21.576092	40.28806	43.19555	38.094418	36.885952	24.498705	7.6862016	29.763756	1201	-25.608109	28.36966	186	13.541775	9.825047	9.920086	9.986127	9.962496	10.005298	9.923813	9.97338	7.519018	7.5187926	9.99356	7.498804	2.5554776	3.7087653	2.5265381	15.0159	19.975676	9.968536	9.958483	19.87143	26.471401	-2	400.57617	411.8777	443.07144	490.5726	510.54047	560.529	620.4549	665.3473	674.09644	681.64905	709.1941	754.264	761.8033	764.91656	768.0222	779.30493	865.6171	884.4903	899.49414	939.19116	1016.0146	1487.0146	1658.6642	1837.3562	1880.324	1863.3112	1743.8395	1600.8806	1485.5977	1450.9048	1425.7426	1361.8785	1229.5441	1210.3892	1202.0691	1194.9996	1139.1671	931.9874	903.3623	869.68915	802.0623	678.98596	-2139095040
592.5	1619.5	28.357798879767262	-25.606591264884475	75.52008	79.5471	75.889305	61.872955	55.937836	43.781868	33.68945	29.521833	28.52139	27.779737	32.938503	45.364677	11.687573	21.576092	40.28806	43.19555	38.094418	36.885952	24.498705	7.6862016	29.763756	1201	-25.608109	28.36966	186	13.541775	9.825047	9.920086	9.986127	9.962496	10.005298	9.923813	9.97338	7.519018	7.5187926	9.99356	7.498804	2.5554776	3.7087653	2.5265381	15.0159	19.975676	9.968536	9.958483	19.87143	26.471401	-2	400.57617	411.8777	443.07144	490.5726	510.54047	560.529	620.4549	665.3473	674.09644	681.64905	709.1941	754.264	761.8033	764.91656	768.0222	779.30493	865.6171	884.4903	899.49414	939.19116	1016.0146	1487.0146	1658.6642	1837.3562	1880.324	1863.3112	1743.8395	1600.8806	1485.5977	1450.9048	1425.7426	1361.8785	1229.5441	1210.3892	1202.0691	1194.9996	1139.1671	931.9874	903.3623	869.68915	802.0623	678.98596	-2147483648
593.5	1619.5	28.360372907433693	-25.607293991228975	75.60376	79.45339	75.22116	61.56192	55.584503	43.386547	33.41691	29.486773	28.549921	27.957615	32.553455	44.162346	11.252757	21.031067	39.13441	41.92291	36.506947	35.49455	23.744434	7.52954	28.269571	1211	-25.609772	28.375744	187	13.541142	9.825104	9.920227	9.986143	9.96251	10.005264	9.923766	9.973449	7.519044	7.518708	9.993564	7.4987793	2.5553784	3.7087355	2.5265102	15.016031	19.975643	9.96853	9.958446	19.871756	26.461723	-2	400.5753	411.8768	443.0704	490.57153	510.53952	560.5281	620.4539	665.3463	674.0955	681.64813	709.1932	754.2632	761.80237	764.9156	768.02124	779.3041	865.61597	884.48914	899.493	939.1903	1016.0109	1486.9895	1658.657	1837.3267	1880.3073	1863.3263	1743.8469	1600.8821	1485.6002	1450.9087	1425.7463	1361.8848	1229.544	1210.3895	1202.0774	1194.9967	1139.1708	931.9876	903.36414	869.6892	802.0637	678.99097	-2139095040
594.5	1619.5	28.36294693525077	-25.607996717577407	75.60376	79.45339	75.22116	61.56192	55.584503	43.386547	33.41691	29.486773	28.549921	27.957615	32.553455	44.162346	11.252757	21.031067	39.13441	41.92291	36.506947	35.49455	23.744434	7.52954	28.269571	1211	-25.609772	28.375744	187	13.541142	9.825104	9.920227	9.986143	9.96251	10.005264	9.923766	9.973449	7.519044	7.518708	9.993564	7.4987793	2.5553784	3.7087355	2.5265102	15.016031	19.975643	9.96853	9.958446	19.871756	26.461723	-2	400.5753	411.8768	443.0704	490.57153	510.53952	560.5281	620.4539	665.3463	674.0955	681.64813	709.1932	754.2632	761.80237	764.9156	768.02124	779.3041	865.61597	884.48914	899.493	939.1903	1016.0109	1486.9895	1658.657	1837.3267	1880.3073	1863.3263	1743.8469	1600.8821	1485.6002	1450.9087	1425.7463	1361.8848	1229.544	1210.3895	1202.0774	1194.9967	1139.1708	931.9876	903.36414	869.6892	802.0637	678.99097	-2147483648
589.5	1620.5	28.349233827509746	-25.60702224139283	76.17556	79.77468	76.33879	62.86366	56.97765	44.844296	34.867523	31.187258	30.185692	29.488903	33.769394	44.558323	11.425184	21.377115	39.650654	42.532715	37.31547	36.35249	24.207054	7.6307173	28.603413	1215	-25.609058	28.36301	185	13.542406	9.824989	9.919946	9.986111	9.962481	10.005331	9.92386	9.97331	7.518992	7.518877	9.993555	7.498829	2.5555768	3.7087953	2.526566	15.015767	19.97571	9.968542	9.95852	19.871101	26.48112	-2	400.57706	411.8786	443.0725	490.5737	510.5414	560.5299	620.4559	665.3483	674.0973	681.65	709.19507	754.2647	761.80426	764.91754	768.0232	779.3058	865.6183	884.49146	899.4953	939.19196	1016.0182	1487.0398	1658.6713	1837.3859	1880.3406	1863.2961	1743.8322	1600.8792	1485.5951	1450.901	1425.7386	1361.8726	1229.5441	1210.3889	1202.0608	1195.0027	1139.1635	931.98724	903.3604	869.6891	802.06085	678.98096	-2139095040
590.5	1620.5	28.351807888940208	-25.607725003335943	76.17556	79.77468	76.33879	62.86366	56.97765	44.844296	34.867523	31.187258	30.185692	29.488903	33.769394	44.558323	11.425184	21.377115	39.650654	42.532715	37.31547	36.35249	24.207054	7.6307173	28.603413	1215	-25.609058	28.36301	185	13.542406	9.824989	9.919946	9.986111	9.962481	10.005331	9.92386	9.97331	7.518992	7.518877	9.993555	7.498829	2.5555768	3.7087953	2.526566	15.015767	19.97571	9.968542	9.95852	19.871101	26.48112	-2	400.57706	411.8786	443.0725	490.5737	510.5414	560.5299	620.4559	665.3483	674.0973	681.65	709.19507	754.2647	761.80426	764.91754	768.0232	779.3058	865.6183	884.49146	899.4953	939.19196	1016.0182	1487.0398	1658.6713	1837.3859	1880.3406	1863.2961	1743.8322	1600.8792	1485.5951	1450.901	1425.7386	1361.8726	1229.5441	1210.3889	1202.0608	1195.0027	1139.1635	931.98724	903.3604	869.6891	802.06085	678.98096	-2147483648
591.5	1620.5	28.354381950551502	-25.60842776528317	76.356865	80.015656	75.779976	62.322227	56.089264	43.74481	33.48724	29.478006	28.587963	27.903479	31.519903	40.893726	10.518066	19.655525	36.521587	38.81024	33.62287	32.38726	21.878872	6.912686	25.757658	1207	-25.610664	28.36888	186	13.541775	9.825047	9.920086	9.986127	9.962496	10.005298	9.923813	9.97338	7.519018	7.5187926	9.99356	7.498804	2.5554776	3.7087653	2.5265381	15.0159	19.975676	9.968536	9.958483	19.87143	26.471401	-2	400.57617	411.8777	443.07144	490.5726	510.54047	560.529	620.4549	665.3473	674.09644	681.64905	709.1941	754.264	761.8033	764.91656	768.0222	779.30493	865.6171	884.4903	899.49414	939.19116	1016.0146	1487.0146	1658.6642	1837.3562	1880.324	1863.3112	1743.8395	1600.8806	1485.5977	1450.9048	1425.7426	1361.8785	1229.5441	1210.3892	1202.0691	1194.9996	1139.1671	931.9874	903.3623	869.68915	802.0623	678.98596	-2139095040
592.5	1620.5	28.356956012333242	-25.6091305272343	76.356865	80.015656	75.779976	62.322227	56.089264	43.74481	33.48724	29.478006	28.587963	27.903479	31.519903	40.893726	10.518066	19.655525	36.521587	38.81024	33.62287	32.38726	21.878872	6.912686	25.757658	1207	-25.610664	28.36888	186	13.541775	9.825047	9.920086	9.986127	9.962496	10.005298	9.923813	9.97338	7.519018	7.5187926	9.99356	7.498804	2.5554776	3.7087653	2.5265381	15.0159	19.975676	9.968536	9.958483	19.87143	26.471401	-2	400.57617	411.8777	443.07144	490.5726	510.54047	560.529	620.4549	665.3473	674.09644	681.64905	709.1941	754.264	761.8033	764.91656	768.0222	779.30493	865.6171	884.4903	899.49414	939.19116	1016.0146	1487.0146	1658.6642	1837.3562	1880.324	1863.3112	1743.8395	1600.8806	1485.5977	1450.9048	1425.7426	1361.8785	1229.5441	1210.3892	1202.0691	1194.9996	1139.1671	931.9874	903.3623	869.68915	802.0623	678.98596	-2147483648
593.5	1620.5	28.35953007427504	-25.60983328918912	75.72928	79.38645	75.318344	61.700157	55.261456	43.20124	33.170742	29.311464	28.502369	27.725601	31.013262	39.892982	10.240684	19.015337	35.209908	37.585323	32.19316	31.083853	20.923464	6.671166	24.487114	1214	-25.612318	28.374924	187	13.541142	9.825104	9.920227	9.986143	9.96251	10.005264	9.923766	9.973449	7.519044	7.518708	9.993564	7.4987793	2.5553784	3.7087355	2.5265102	15.016031	19.975643	9.96853	9.958446	19.871756	26.461723	-2	400.5753	411.8768	443.0704	490.57153	510.53952	560.5281	620.4539	665.3463	674.0955	681.64813	709.1932	754.2632	761.80237	764.9156	768.02124	779.3041	865.61597	884.48914	899.493	939.1903	1016.0109	1486.9895	1658.657	1837.3267	1880.3073	1863.3263	1743.8469	1600.8821	1485.6002	1450.9087	1425.7463	1361.8848	1229.544	1210.3895	1202.0774	1194.9967	1139.1708	931.9876	903.36414	869.6892	802.0637	678.99097	-2139095040
