                                                                              27 Jun 2016 19:56:14
Target-Roodeplaat_South_Africa-To-Satellite-SENTINEL-3A_41335:  Access Summary Report


Roodeplaat_South_Africa-To-SENTINEL-3A_41335
--------------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       2    28 Jun 2016 07:45:16.723    28 Jun 2016 07:47:15.714           118.991
                       5     2 Jul 2016 07:41:40.552     2 Jul 2016 07:43:29.779           109.228
                       6     5 Jul 2016 08:04:16.343     5 Jul 2016 08:05:09.898            53.555
                       8     6 Jul 2016 07:38:08.844     6 Jul 2016 07:39:39.575            90.730
                       9     9 Jul 2016 08:00:16.467     9 Jul 2016 08:01:46.802            90.335
                      11    10 Jul 2016 07:34:45.645    10 Jul 2016 07:35:41.062            55.416
                      12    13 Jul 2016 07:56:25.636    13 Jul 2016 07:58:14.841           109.205
                      14    17 Jul 2016 07:52:39.391    17 Jul 2016 07:54:38.466           119.074
                      17    21 Jul 2016 07:48:56.614    21 Jul 2016 07:50:58.802           122.188
                      20    25 Jul 2016 07:45:17.013    25 Jul 2016 07:47:16.135           119.121
                      23    29 Jul 2016 07:41:40.821    29 Jul 2016 07:43:30.236           109.415
                      24     1 Aug 2016 08:04:17.106     1 Aug 2016 08:05:09.876            52.770
                      26     2 Aug 2016 07:38:09.063     2 Aug 2016 07:39:40.073            91.010
                      27     5 Aug 2016 08:00:17.023     5 Aug 2016 08:01:46.957            89.934
                      29     6 Aug 2016 07:34:45.703     6 Aug 2016 07:35:41.681            55.977
                      30     9 Aug 2016 07:56:26.104     9 Aug 2016 07:58:15.029           108.925
                      32    13 Aug 2016 07:52:39.788    13 Aug 2016 07:54:38.649           118.860
                      35    17 Aug 2016 07:48:56.936    17 Aug 2016 07:50:58.966           122.031
                      38    21 Aug 2016 07:45:17.252    21 Aug 2016 07:47:16.269           119.018
                      41    25 Aug 2016 07:41:40.968    25 Aug 2016 07:43:30.339           109.371
                      42    28 Aug 2016 08:04:17.735    28 Aug 2016 08:05:09.432            51.697
                      44    29 Aug 2016 07:38:09.099    29 Aug 2016 07:39:40.155            91.056
